league,team_id,team_slug,team_name,team_display,team_color
mens,2567,smu-mustangs,SMU,SMU,#bb273a
mens,2569,south-carolina-state-bulldogs,South Carolina State,SC State,#84182b
mens,257,richmond-spiders,Richmond,Richmond,#0e2b5a
mens,2571,south-dakota-state-jackrabbits,South Dakota State,SD State,#f8d347
mens,2572,southern-miss-golden-eagles,Southern Miss,S Miss,#f4c747
mens,2579,south-carolina-gamecocks,South Carolina,SC,#8b1b31
mens,258,virginia-cavaliers,Virginia,Virginia,#e55933
mens,2582,southern-jaguars,Southern,Southern,#73addc
mens,259,virginia-tech-hokies,Virginia Tech,VT,#5a0d30
mens,2597,st-francis-brooklyn-terriers,St. Francis Brooklyn,Brooklyn,gray60
mens,2598,st-francis-pa-red-flash,St. Francis (PA),SFU,#ac3836
mens,2599,st-johns-red-storm,St. John's,St. John's,#b4313e
mens,26,ucla-bruins,UCLA,UCLA,#3871a8
mens,2601,st-josephs-ind-pumas,St. Josephs (IND),St Joe (IND),gray60
mens,2603,saint-josephs-hawks,Saint Joseph's,SJU,#9b2232
mens,2604,st-joseph-vt-saints,St. Joseph (VT),St Joe (VT),gray60
mens,2608,saint-marys-gaels,Saint Mary's,SMC,#102f54
mens,261,vermont-catamounts,Vermont,Vermont,#204f32
mens,2612,saint-peters-peacocks,Saint Peter's,St Peters,#163b6d
mens,2617,stephen-f-austin-lumberjacks,Stephen F. Austin,SF Austin,#562991
mens,2619,stony-brook-seawolves,Stony Brook,Stony Brook,#112241
mens,2623,missouri-state-bears,Missouri State,MO State,#541113
mens,2627,tarleton-state-texans,Tarleton State,Tarleton,#532d7d
mens,2628,tcu-horned-frogs,TCU,TCU,#471c74
mens,2630,ut-martin-skyhawks,UT Martin,UT Martin,#0d2959
mens,2633,tennessee-volunteers,Tennessee,Tennessee,#ef8933
mens,2634,tennessee-state-tigers,Tennessee State,TN State,#2d3287
mens,2635,tennessee-tech-golden-eagles,Tennessee Tech,TN Tech,#564094
mens,2636,utsa-roadrunners,UTSA,UTSA,#12223d
mens,2638,utep-miners,UTEP,UTEP,#111d3f
mens,264,washington-huskies,Washington,Washington,#2e046a
mens,2640,texas-southern-tigers,Texas Southern,TSU,#8b3759
