league,team_id,team_slug,team_name
mens,2169,delaware-state-hornets,Delaware State Hornets
mens,47,howard-bison,Howard Bison
mens,2379,maryland-eastern-shore-hawks,Maryland Eastern Shore Hawks
mens,2415,morgan-state-bears,Morgan State Bears
mens,2450,norfolk-state-spartans,Norfolk State Spartans
mens,2428,north-carolina-central-eagles,North Carolina Central Eagles
mens,2569,south-carolina-state-bulldogs,South Carolina State Bulldogs
mens,2006,akron-zips,Akron Zips
mens,2050,ball-state-cardinals,Ball State Cardinals
mens,189,bowling-green-falcons,Bowling Green Falcons
mens,2084,buffalo-bulls,Buffalo Bulls
mens,2117,central-michigan-chippewas,Central Michigan Chippewas
mens,2199,eastern-michigan-eagles,Eastern Michigan Eagles
mens,2309,kent-state-golden-flashes,Kent State Golden Flashes
mens,193,miami-oh-redhawks,Miami (OH) RedHawks
mens,2459,northern-illinois-huskies,Northern Illinois Huskies
mens,195,ohio-bobcats,Ohio Bobcats
mens,2649,toledo-rockets,Toledo Rockets
mens,2711,western-michigan-broncos,Western Michigan Broncos
mens,2057,belmont-bruins,Belmont Bruins
mens,71,bradley-braves,Bradley Braves
mens,2181,drake-bulldogs,Drake Bulldogs
mens,339,evansville-purple-aces,Evansville Purple Aces
mens,2287,illinois-state-redbirds,Illinois State Redbirds
mens,282,indiana-state-sycamores,Indiana State Sycamores
mens,2623,missouri-state-bears,Missouri State Bears
mens,93,murray-state-racers,Murray State Racers
mens,2460,northern-iowa-panthers,Northern Iowa Panthers
mens,79,southern-illinois-salukis,Southern Illinois Salukis
mens,82,uic-flames,UIC Flames
mens,2674,valparaiso-beacons,Valparaiso Beacons
mens,2005,air-force-falcons,Air Force Falcons
mens,68,boise-state-broncos,Boise State Broncos
mens,36,colorado-state-rams,Colorado State Rams
mens,278,fresno-state-bulldogs,Fresno State Bulldogs
mens,2440,nevada-wolf-pack,Nevada Wolf Pack
mens,167,new-mexico-lobos,New Mexico Lobos
mens,21,san-diego-state-aztecs,San Diego State Aztecs
mens,23,san-jose-state-spartans,San José State Spartans
mens,2439,unlv-rebels,UNLV Rebels
mens,328,utah-state-aggies,Utah State Aggies
mens,2751,wyoming-cowboys,Wyoming Cowboys
mens,2115,central-connecticut-blue-devils,Central Connecticut Blue Devils
mens,2130,chicago-state-cougars,Chicago State Cougars
mens,161,fairleigh-dickinson-knights,Fairleigh Dickinson Knights
mens,2330,le-moyne-dolphins,Le Moyne Dolphins
mens,112358,long-island-university-sharks,Long Island University Sharks
mens,2385,mercyhurst-lakers,Mercyhurst Lakers
mens,2598,st-francis-pa-red-flash,St. Francis (PA) Red Flash
mens,284,stonehill-skyhawks,Stonehill Skyhawks
mens,2681,wagner-seahawks,Wagner Seahawks
mens,2197,eastern-illinois-panthers,Eastern Illinois Panthers
mens,2815,lindenwood-lions,Lindenwood Lions
mens,2031,little-rock-trojans,Little Rock Trojans
mens,2413,morehead-state-eagles,Morehead State Eagles
mens,2565,siu-edwardsville-cougars,SIU Edwardsville Cougars
mens,2546,southeast-missouri-state-redhawks,Southeast Missouri State Redhawks
mens,88,southern-indiana-screaming-eagles,Southern Indiana Screaming Eagles
mens,2634,tennessee-state-tigers,Tennessee State Tigers
mens,2635,tennessee-tech-golden-eagles,Tennessee Tech Golden Eagles
mens,2630,ut-martin-skyhawks,UT Martin Skyhawks
mens,2710,western-illinois-leathernecks,Western Illinois Leathernecks
mens,44,american-university-eagles,American University Eagles
mens,349,army-black-knights,Army Black Knights
mens,104,boston-university-terriers,Boston University Terriers
mens,2083,bucknell-bison,Bucknell Bison
mens,2142,colgate-raiders,Colgate Raiders
mens,107,holy-cross-crusaders,Holy Cross Crusaders
mens,322,lafayette-leopards,Lafayette Leopards
mens,2329,lehigh-mountain-hawks,Lehigh Mountain Hawks
mens,2352,loyola-maryland-greyhounds,Loyola Maryland Greyhounds
mens,2426,navy-midshipmen,Navy Midshipmen
mens,333,alabama-crimson-tide,Alabama Crimson Tide
mens,8,arkansas-razorbacks,Arkansas Razorbacks
mens,2,auburn-tigers,Auburn Tigers
mens,57,florida-gators,Florida Gators
mens,61,georgia-bulldogs,Georgia Bulldogs
mens,96,kentucky-wildcats,Kentucky Wildcats
mens,99,lsu-tigers,LSU Tigers
mens,344,mississippi-state-bulldogs,Mississippi State Bulldogs
mens,142,missouri-tigers,Missouri Tigers
mens,201,oklahoma-sooners,Oklahoma Sooners
mens,145,ole-miss-rebels,Ole Miss Rebels
mens,2579,south-carolina-gamecocks,South Carolina Gamecocks
